id,serialNumber,otherParty,comment,entryDate,type,status,confirmDate,enteredBy,theirRef,category,items,linkedRequisition
acbfea80ff4e11e7bbca015aeb12727c,10,43486D1BBC829641AF0CF51237D6E39E ,"Jan out 2018","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
cdcf09d0ff4a11e7bbca015aeb12727c,9,BA0973C9AA9CF0459AC99F708E43F3DE ,"Jan Out 2018","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
95a466b0ff5211e7bbca015aeb12727c,11,86DC7EE08FEF3749B1B8E2F80B1ADA57 ,"Jan out 2018","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
8c431bf0ff5911e7bbca015aeb12727c,12,2518C53B36BBDD49A943B2EC89F530CA ,"Jan out 2018","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
5437c4d0ff5a11e7bbca015aeb12727c,13,20C4540B10773E4E85388592C81F1BC6 ,"Jan out 2018 (nutrition)","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ,<null>
d7aa5d30ff5c11e7bbca015aeb12727c,14,D14E26BB98CF5549A02C2BE71C9E8343 ,"Jan out 2018","2018-01-22 00:00:00 +0000",customer_invoice,finalised,"2018-01-22 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
1b07964000db11e8b76d9d0c72fe4497,15,D14E26BB98CF5549A02C2BE71C9E8343 ,"jan out of mobile clinic","2018-01-24 00:00:00 +0000",customer_invoice,finalised,"2018-01-24 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
39f768b0017f11e8a5410b58d3fabb77,16,BA0973C9AA9CF0459AC99F708E43F3DE ,"missed to fill in Dec","2018-01-25 00:00:00 +0000",customer_invoice,finalised,"2018-01-25 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,"dec out 2017",<null>,ignore ID ,<null>
78d15820017f11e8a5410b58d3fabb77,17,86DC7EE08FEF3749B1B8E2F80B1ADA57 ,"missed to fill in dec","2018-01-25 00:00:00 +0000",customer_invoice,finalised,"2018-01-25 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,"dec out2017",<null>,ignore ID ,<null>
b2c17f60017f11e8a5410b58d3fabb77,18,20C4540B10773E4E85388592C81F1BC6 ,"missed to fill in dec","2018-01-25 00:00:00 +0000",customer_invoice,finalised,"2018-01-25 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,"dec out 2017",<null>,ignore ID ,<null>
